Date(mm/dd/yyyy),Leave time(hh:mm),Arrival time(hh:mm),biking time(mins.),Distance(miles),Temperature(F),Backpack weight(lbs.),Eat before leave,Wearing flips,,
,,,,,,,,,,
01/28/2026,10:56 a.m.,11:03 a.m.,7 mins,1.4 miles,58 degrres F,10 lbs,yes,Yes,,
01/28/2026,3:13 p.m.,3:19 p.m.,6 mins,1.1 miles,61 degrres F,10 lbs,yes,Yes,,
01/29/2026,9:17 a.m.,9:26 a.m.,9 mins.,1.2 miles,58 deegrees F,11 lbs,yes,No,,
01/29/2026,12:20 p.m.,12:27 p.m.,7 mins,1.2 miles,63 degrees,11 lbs,no,No,,
02/02/2026,10:55 a.m.,11:01 a.m.,6 mins.,1.4 miles,67 degrees,8 lbs,Yes,No,,
02/03/2026,7:55 a.m.,8:00 a.m.,5 mins.,1 mile,62 degrees,8 lbs,No,Yes,,
02/03/2026,12:20 p.m.,12:26 p.m.,6 mins.,1.2 miles,72 degrees,8 lbs,Yes,Yes,,
02/04/2026,10:50 a.m.,10:57 a.m.,7 mins.,1.4 miles,78 degrees,8 lbs,Yes,No,,
02/05/2026,9:28 a.m.,9:33 a.m.,5 mins.,1.2 miles,69 degrees,9 lbs,Yes,Yes,,
02/05/2026,12:29 p.m.,12:35 p.m.,6 mins.,1.2 miles,74 degrees,9 lbs,Yes,Yes,,
02/05/2026,2:23 p.m.,2:29 p.m.,6 mins.,1.2 miles,70 degrees,9 lbs,Yes,Yes,,
02/09/2026,10:50 a.m.,10:56 a.m.,6 mins.,1.4 miles,65 degrees,8 lbs,No,No,,
02/10/2026,8:00 a.m.,8:04 a.m.,4 mins.,1.2 miles,60 degrees,8 lbs,No,Yes,,
02/11/2026,11:01 a.m.,11:06 a.m.,5 mins.,1.4 miles,61 degrees,10 lbs,Yes,No,,
02/12/2026,9:20 a.m.,9:26 a.m.,6 mins.,1.2 miles,61 degrees,10 lbs,No,No,,
02/12/2026,12:20 p.m.,12:26 p.m.,6 mins.,1.2 miles,64 degrees,10 lbs,Yes,No,,
02/16/2026,11:00 a.m.,11:07 a.m.,7 mins.,1.4 miles,58 degrees,8 lbs,Yes,No,,
02/17/2026,7:50 a.m.,7:56 a.m.,6 mins.,1.2 miles,49 degrees,8 lbs,No,Yes,,
02/17/2026,12:20 p.m.,12:25 p.m.,5 mins.,1.2 miles,57 degrees,8 lbs,Yes,Yes,,
02/18/2026,10:46 a.m.,10:54 a.m.,8 mins.,1.4 miles,50 degrees,8 lbs,No,Yes,,
02/19/2026,9:18 a.m.,9:25 a.m.,7 mins.,1.2 miles,50 degrees,8 lbs,Yes,Yes,,
02/19/2026,2:48 p.m.,2:53 p.m.,5 mins.,1.2 miles,56 degrees,8 lbs,Yes,No,,
02/21/2026,3:30 p.m.,3:35 p.m.,5 mins.,1.2 miles,58 degrees,6 lbs,Yes,Yes,,
02/23/2026,10:58 a.m.,11:02 a.m.,4 mins.,1.4 miles,60 degrees,6 lbs,No,No,,
02/24/2026,9:20 a.m.,9:26 a.m.,6 mins.,1.2 miles,64 degrees,6 lbs,Yes,No,,
02/25/2026,10:48 a.m.,10:55 a.m.,7 mins.,1.4 miles,65 degrees,6 lbs,Yes,No,,
02/26/2026,9:29 a.m.,9:33 a.m.,4 mins.,1.2 miles,65 degrees,6 lbs,No,Yes,,
02/28/2026,6:13 p.m.,6:20 p.m.,7 mins.,1.2 miles,63 degrees,6 lbs,Yes,No,,
03/05/2026,2:50 p.m.,2:56 p.m.,6 mins.,1.2 miles,70 degrees,6 lbs,No,No,,
